cyclone_id,disturbance_id,cyclone_name,season_year,season_label,month,peak_datetime,first_in_region,last_in_region,hours_in_region,category,category_from_pres,max_wind_ms,max_wind_kmh,min_pressure_hpa,peak_lat,peak_lon,km_to_port_hedland,close_port_hedland,km_to_dampier,close_dampier,track_points,data_tier,lost_mt,lost_lo_mt,lost_hi_mt,downtime_days,downtime_hours,availability,capability_mt,total_throughput_mt,weighted_severity,event_severity,severity_share,event_lost_mt,event_lost_lo_mt,event_lost_hi_mt,event_downtime_days,event_downtime_hours,days_since_previous
18,AU202223_16U,Unnamed,2023,2022-23,2023-02-01,2023-02-23 12:00:00,2023-02-22 14:00:00,2023-02-24 18:00:00,52.0,0,0,7.7,27.7,1001.0,-18.15,116.58,260.7,False,240.2,False,64,A,0.0,0.0,0.0,0.0,0.0,1.0,41.59937336303025,39.28738357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0
19,AU202223_23U,Ilsa,2023,2022-23,2023-04-01,2023-04-13 12:00:00,2023-04-13 00:00:00,2023-04-14 00:00:00,24.0,5,4,64.3,231.5,930.0,-19.4,119.1,114.9,True,286.3,False,38,A,4.6783430514358315,2.559185843914663,6.797500258957003,3.0291010275019885,72.69842466004772,0.9003585188321714,46.95176142108912,43.8119807,2.8149314579559617,2.8149314579559617,1.0,4.6783430514358315,2.559185843914663,6.797500258957003,3.0291010275019885,72.69842466004772,49.0
20,AU202324_07U,Lincoln,2024,2023-24,2024-02-01,2024-02-23 00:00:00,2024-02-23 00:00:00,2024-02-24 13:30:00,37.5,1,0,18.0,64.8,997.0,-17.9,115.1,453.3,False,350.3,False,52,A,0.17230417340037008,0.09425525160629358,0.2503530951944428,0.12300482663042106,2.9521158391301054,0.9959537885976835,42.58407588435068,39.45848536,0.103674406239392,0.10367440623939209,1.0,0.17230417340037008,0.09425525160629358,0.2503530951944428,0.12300482663042106,2.9521158391301054,315.5
21,AU202324_08U,Neville,2024,2023-24,2024-03-01,2024-03-15 06:00:00,2024-03-15 06:00:00,2024-03-15 18:00:00,12.0,0,0,15.4,55.4,996.0,-17.5,115.2,473.3,False,374.9,False,75,A,0.0,0.0,0.0,0.0,0.0,1.0,48.77536793909898,50.68612708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25
22,AU202324_11U,Olga,2024,2023-24,2024-04-01,2024-04-09 06:00:00,2024-04-09 06:00:00,2024-04-11 18:00:00,60.0,1,0,23.2,83.5,993.0,-17.6,116.7,303.4,False,150.2,False,30,A,0.36458559957043235,0.199438624969887,0.5297325741709759,0.2312102586510479,5.54904620762515,0.9923943993864787,47.936463942409546,50.27643144,0.2193690078015048,0.2193690078015048,1.0,0.36458559957043235,0.199438624969887,0.5297325741709759,0.2312102586510479,5.54904620762515,25.0
23,AU202425_11U,Sean,2025,2024-25,2025-01-01,2025-01-19 18:00:00,2025-01-17 00:00:00,2025-01-19 18:00:00,66.0,3,3,38.6,139.0,965.0,-20.4,113.3,111.0,True,153.9,False,27,A,2.8622796124570016,1.5657478267390739,4.158811398174927,1.8040406350080573,43.296975240193376,0.9406565580589454,48.2324502731083,46.52535557,1.722216783589308,1.7222167835893079,1.0,2.8622796124570016,1.5657478267390739,4.158811398174927,1.8040406350080573,43.296975240193376,285.5
24,AU202425_18U,Zelia,2025,2024-25,2025-02-01,2025-02-14 00:00:00,2025-02-11 18:00:00,2025-02-14 18:00:00,72.0,4,5,59.2,213.1,927.0,-19.48,118.64,58.1,True,218.5,False,30,A,4.971891976708704,2.7197654007780954,7.224018552639305,3.4691244882888617,83.25898771893267,0.8858840628852348,43.56877840567111,37.45537663,2.99155811724854,2.99155811724854,1.0,4.971891976708704,2.7197654007780954,7.224018552639305,3.4691244882888617,83.25898771893267,25.25
25,AU202526_21U,Mitchell,2026,2025-26,2026-02-01,2026-02-07 12:00:00,2026-02-05 22:00:00,2026-02-09 00:00:00,74.0,3,3,38.6,139.0,963.0,-20.0,116.7,144.4,True,73.4,True,53,A,2.4220598955994674,1.3249352024386514,3.5191845887602917,1.6526345258382868,39.663228620118886,0.9456370221763721,44.55348092699153,40.58098862,1.457339172911655,1.457339172911655,1.0,2.4220598955994674,1.3249352024386514,3.5191845887602917,1.6526345258382868,39.663228620118886,358.5
26,AU202526_30U,Unnamed,2026,2025-26,2026-03-01,2026-03-05 06:00:00,2026-03-05 06:00:00,2026-03-05 12:00:00,6.0,0,0,15.4,55.4,992.0,-17.55,118.4,307.5,False,329.1,False,34,A,1.3166865279300382,0.7202647360623823,1.9131083197977006,0.7887959310307036,18.931102344736885,0.9740527654266216,50.74477298173983,46.99437043,0.7922425283882414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75
27,AU202526_34U,Narelle,2026,2025-26,2026-03-01,2026-03-26 06:00:00,2026-03-25 06:00:00,2026-03-27 06:00:00,48.0,3,4,43.7,157.3,945.0,-19.5,115.4,266.3,False,188.0,False,58,A,1.3166865279300382,0.7202647360623823,1.9131083197977006,0.7887959310307036,18.931102344736885,0.9740527654266216,50.74477298173983,46.99437043,0.7922425283882414,0.7922425283882414,1.0,1.3166865279300382,0.7202647360623823,1.9131083197977006,0.7887959310307036,18.931102344736885,21.0
