port,year,month_num,month,source_url,source_file,retrieved,data_tier,total_throughput_t,iron_ore_t,vessel_arrivals,parse_note,total_throughput_mt,iron_ore_mt,n_cyclones,max_category,total_severity,weighted_severity,max_pressure_deficit,nearest_km,t,severe,severity_lag1,predicted_mt,counterfactual_mt,estimated_loss_mt,loss_lo_mt,loss_hi_mt,loss_aud
port_hedland,2022,8,2022-08-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type_1.pdf",2022-08.pdf,2026-09-02,A,46726132.56,,272.0,,46.72613256,,0.0,0.0,0.0,0.0,0.0,9999.0,89,0,0.0,47.0791065922676,47.0791065922676,0.0,0.0,0.0,0.0
port_hedland,2022,9,2022-09-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_2.pdf",2022-09.pdf,2026-09-02,A,46277598.72,,267.0,,46.27759872,,0.0,0.0,0.0,0.0,0.0,9999.0,90,0,0.0,47.18523715772215,47.18523715772215,0.0,0.0,0.0,0.0
port_hedland,2022,10,2022-10-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type_2.pdf",2022-10.pdf,2026-09-02,A,47552603.26,,276.0,,47.55260326,,0.0,0.0,0.0,0.0,0.0,9999.0,91,0,0.0,46.54392978317668,46.54392978317668,0.0,0.0,0.0,0.0
port_hedland,2022,11,2022-11-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_3.pdf",2022-11.pdf,2026-09-02,A,48428426.57,,274.0,,48.42842657,,0.0,0.0,0.0,0.0,0.0,9999.0,92,0,0.0,45.85507003681305,45.85507003681305,0.0,0.0,0.0,0.0
port_hedland,2022,12,2022-12-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_4.pdf",2022-12.pdf,2026-09-02,A,50136630.04,,296.0,,50.13663004,,0.0,0.0,0.0,0.0,0.0,9999.0,93,0,0.0,49.69849641105545,49.69849641105545,0.0,0.0,0.0,0.0
port_hedland,2023,1,2023-01-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_5.pdf",2023-01.pdf,2026-09-02,A,48733601.73,,280.0,,48.73360173,,0.0,0.0,0.0,0.0,0.0,9999.0,94,0,0.0,46.26304523046745,46.26304523046745,0.0,0.0,0.0,0.0
port_hedland,2023,2,2023-02-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_6.pdf",2023-02.pdf,2026-09-02,A,39287383.57,,230.0,,39.28738357,,1.0,0.0,0.0,0.0,9.0,260.7,95,0,0.0,41.59937336303025,41.59937336303025,0.0,0.0,0.0,0.0
port_hedland,2023,3,2023-03-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_7.pdf",2023-03.pdf,2026-09-02,A,46475292.84,,279.0,,46.47529284,,0.0,0.0,0.0,0.0,0.0,9999.0,96,0,0.0,47.790665417778555,47.790665417778555,0.0,0.0,0.0,0.0
port_hedland,2023,4,2023-04-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type-april-23.pdf",2023-04.pdf,2026-09-02,A,43811980.7,,252.0,,43.8119807,,1.0,5.0,5.0,2.8149314579559617,80.0,114.9,97,1,0.0,42.273418369653285,46.95176142108912,4.6783430514358315,2.559185843914663,6.797500258957003,719745084.8362818
port_hedland,2023,5,2023-05-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type-may-23.pdf",2023-05.pdf,2026-09-02,A,48600395.08,,284.0,,48.60039508,,0.0,0.0,0.0,0.0,0.0,9999.0,98,0,2.8149314579559617,49.73694624733852,49.73694624733852,0.0,0.0,0.0,0.0
port_hedland,2023,6,2023-06-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_9.pdf",2023-06.pdf,2026-09-02,A,52646162.51,,303.0,,52.64616251,,0.0,0.0,0.0,0.0,0.0,9999.0,99,0,0.0,51.711303899338624,51.711303899338624,0.0,0.0,0.0,0.0
port_hedland,2023,7,2023-07-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type_4.pdf",2023-07.pdf,2026-09-02,A,44520857.59,,268.0,,44.520857590000006,,0.0,0.0,0.0,0.0,0.0,9999.0,100,0,0.0,45.081088325715086,45.081088325715086,0.0,0.0,0.0,0.0
port_hedland,2023,8,2023-08-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type_5.pdf",2023-08.pdf,2026-09-02,A,48562231.7,,283.0,,48.562231700000005,,0.0,0.0,0.0,0.0,0.0,9999.0,101,0,0.0,48.06380911358802,48.06380911358802,0.0,0.0,0.0,0.0
port_hedland,2023,9,2023-09-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_12.pdf",2023-09.pdf,2026-09-02,A,45698154.56,,266.0,,45.69815456,,0.0,0.0,0.0,0.0,0.0,9999.0,102,0,0.0,48.16993967904257,48.16993967904257,0.0,0.0,0.0,0.0
port_hedland,2023,10,2023-10-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type_6.pdf",2023-10.pdf,2026-09-02,A,47651472.95,,282.0,,47.651472950000006,,0.0,0.0,0.0,0.0,0.0,9999.0,103,0,0.0,47.52863230449711,47.52863230449711,0.0,0.0,0.0,0.0
port_hedland,2023,11,2023-11-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_13.pdf",2023-11.pdf,2026-09-02,A,45750516.94,,269.0,,45.75051694,,0.0,0.0,0.0,0.0,0.0,9999.0,104,0,0.0,46.83977255813348,46.83977255813348,0.0,0.0,0.0,0.0
port_hedland,2023,12,2023-12-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_14.pdf",2023-12.pdf,2026-09-02,A,50394458.87,,299.0,,50.394458869999994,,0.0,0.0,0.0,0.0,0.0,9999.0,105,0,0.0,50.68319893237587,50.68319893237587,0.0,0.0,0.0,0.0
port_hedland,2024,1,2024-01-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type_7.pdf",2024-01.pdf,2026-09-02,A,43011524.66,,254.0,,43.01152466,,0.0,0.0,0.0,0.0,0.0,9999.0,106,0,0.0,47.24774775178788,47.24774775178788,0.0,0.0,0.0,0.0
port_hedland,2024,2,2024-02-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_16.pdf",2024-02.pdf,2026-09-02,A,39458485.36,,237.0,,39.45848536,,1.0,1.0,1.0,0.103674406239392,13.0,453.3,107,0,0.0,42.41177171095031,42.58407588435068,0.17230417340037008,0.09425525160629358,0.2503530951944428,26508334.369287703
port_hedland,2024,3,2024-03-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type_8.pdf",2024-03.pdf,2026-09-02,A,50686127.08,,301.0,,50.68612708,,1.0,0.0,0.0,0.0,14.0,473.3,108,0,0.103674406239392,48.77536793909898,48.77536793909898,0.0,0.0,0.0,0.0
port_hedland,2024,4,2024-04-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_17.pdf",2024-04.pdf,2026-09-02,A,50276431.44,,298.0,,50.27643144,,1.0,1.0,1.0,0.2193690078015048,17.0,303.4,109,0,0.0,47.57187834283911,47.936463942409546,0.36458559957043235,0.199438624969887,0.5297325741709759,56090092.24160497
port_hedland,2024,5,2024-05-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_18.pdf",2024-05.pdf,2026-09-02,A,52706468.46,,304.0,,52.70646846,,0.0,0.0,0.0,0.0,0.0,9999.0,110,0,0.2193690078015048,50.72164876865895,50.72164876865895,0.0,0.0,0.0,0.0
port_hedland,2024,6,2024-06-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-june.pdf",2024-06.pdf,2026-09-02,A,54894776.38,,324.0,,54.89477638,,0.0,0.0,0.0,0.0,0.0,9999.0,111,0,0.0,52.696006420659046,52.696006420659046,0.0,0.0,0.0,0.0
port_hedland,2024,7,2024-07-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type_july.pdf",2024-07.pdf,2026-09-02,A,43978999.44,,270.0,,43.97899944,,0.0,0.0,0.0,0.0,0.0,9999.0,112,0,0.0,46.06579084703551,46.06579084703551,0.0,0.0,0.0,0.0
port_hedland,2024,8,2024-08-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type_2-august.pdf",2024-08.pdf,2026-09-02,A,48605590.78,,287.0,,48.60559078,,0.0,0.0,0.0,0.0,0.0,9999.0,113,0,0.0,49.04851163490845,49.04851163490845,0.0,0.0,0.0,0.0
port_hedland,2024,9,2024-09-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-september.pdf",2024-09.pdf,2026-09-02,A,49825667.18,,297.0,,49.82566718,,0.0,0.0,0.0,0.0,0.0,9999.0,114,0,0.0,49.154642200363,49.154642200363,0.0,0.0,0.0,0.0
port_hedland,2024,10,2024-10-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-october.pdf",2024-10.pdf,2026-09-02,A,46178591.02,,270.0,,46.178591020000006,,0.0,0.0,0.0,0.0,0.0,9999.0,115,0,0.0,48.51333482581753,48.51333482581753,0.0,0.0,0.0,0.0
port_hedland,2024,11,2024-11-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-november-2024.pdf",2024-11.pdf,2026-09-02,A,49286279.7,,276.0,,49.2862797,,0.0,0.0,0.0,0.0,0.0,9999.0,116,0,0.0,47.82447507945391,47.82447507945391,0.0,0.0,0.0,0.0
port_hedland,2024,12,2024-12-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-december.pdf",2024-12.pdf,2026-09-02,A,48259081.96,,277.0,,48.25908196,,0.0,0.0,0.0,0.0,0.0,9999.0,117,0,0.0,51.6679014536963,51.6679014536963,0.0,0.0,0.0,0.0
