port,year,month_num,month,source_url,source_file,retrieved,data_tier,total_throughput_t,iron_ore_t,vessel_arrivals,parse_note,total_throughput_mt,iron_ore_mt,n_cyclones,max_category,total_severity,weighted_severity,max_pressure_deficit,nearest_km,t,severe,severity_lag1,fitted_mt,capability_mt,lost_mt,lost_lo_mt,lost_hi_mt,availability,daily_capability_mt,downtime_days,downtime_hours,failure_mode,below_target
port_hedland,2025,3,2025-03-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type_1.pdf",2025-03.pdf,2026-09-02,A,51537091.99,,290.0,,51.53709199,,0.0,0.0,0.0,0.0,0.0,9999.0,120,0,2.99155811724854,49.760070460419406,49.760070460419406,0.0,0.0,0.0,1.0,1.6368444230401122,0.0,0.0,No weather event,False
port_hedland,2025,4,2025-04-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type_april-(1).pdf",2025-04.pdf,2026-09-02,A,47304172.77,,270.0,,47.30417277,,0.0,0.0,0.0,0.0,0.0,9999.0,121,0,0.0,48.92116646372997,48.92116646372997,0.0,0.0,0.0,1.0,1.6092488968332226,0.0,0.0,No weather event,False
port_hedland,2025,5,2025-05-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type_may2025.pdf",2025-05.pdf,2026-09-02,A,53637926.84,,303.0,,53.637926840000006,,0.0,0.0,0.0,0.0,0.0,9999.0,122,0,0.0,51.706351289979374,51.706351289979374,0.0,0.0,0.0,1.0,1.7008668187493217,0.0,0.0,No weather event,False
port_hedland,2025,6,2025-06-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type_june2025.pdf",2025-06.pdf,2026-09-02,A,55405420.64,,327.0,,55.40542064,,0.0,0.0,0.0,0.0,0.0,9999.0,123,0,0.0,53.680708941979475,53.680708941979475,0.0,0.0,0.0,1.0,1.7658127941440618,0.0,0.0,No weather event,False
port_hedland,2025,7,2025-07-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type_july2025.pdf",2025-07.pdf,2026-09-02,A,46857471.52,,277.0,,46.85747152,,0.0,0.0,0.0,0.0,0.0,9999.0,124,0,0.0,47.05049336835594,47.05049336835594,0.0,0.0,0.0,1.0,1.5477135976432874,0.0,0.0,No weather event,False
port_hedland,2025,8,2025-08-01,https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo-grt-and-dwt-statistics-by-commodity-type_aug2025.pdf,2025-08.pdf,2026-09-02,A,45266298.72,,266.0,,45.26629872,,0.0,0.0,0.0,0.0,0.0,9999.0,125,0,0.0,50.03321415622887,50.03321415622887,0.0,0.0,0.0,1.0,1.6458294130338447,0.0,0.0,No weather event,False
port_hedland,2025,9,2025-09-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type_september2025.pdf",2025-09.pdf,2026-09-02,A,49367514.27,,286.0,,49.36751427,,0.0,0.0,0.0,0.0,0.0,9999.0,126,0,0.0,50.13934472168343,50.13934472168343,0.0,0.0,0.0,1.0,1.649320550055376,0.0,0.0,No weather event,False
port_hedland,2025,10,2025-10-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type_october2025.pdf",2025-10.pdf,2026-09-02,A,50445967.76,,292.0,,50.445967759999995,,0.0,0.0,0.0,0.0,0.0,9999.0,127,0,0.0,49.49803734713796,49.49803734713796,0.0,0.0,0.0,1.0,1.6282249127348014,0.0,0.0,No weather event,False
port_hedland,2025,11,2025-11-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type_november2025.pdf",2025-11.pdf,2026-09-02,A,48469776.09,,279.0,,48.46977609,,0.0,0.0,0.0,0.0,0.0,9999.0,128,0,0.0,48.80917760077433,48.80917760077433,0.0,0.0,0.0,1.0,1.6055650526570504,0.0,0.0,No weather event,False
port_hedland,2025,12,2025-12-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type_december2025.pdf",2025-12.pdf,2026-09-02,A,51680981.47,,298.0,,51.68098147,,0.0,0.0,0.0,0.0,0.0,9999.0,129,0,0.0,52.65260397501673,52.65260397501673,0.0,0.0,0.0,1.0,1.731993551809761,0.0,0.0,No weather event,False
port_hedland,2026,1,2026-01-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2026/cargo,-grt-and-dwt-statistics-by-commodity-type_january2026.pdf",2026-01.pdf,2026-09-02,A,49994709.99,,288.0,,49.99470999,,0.0,0.0,0.0,0.0,0.0,9999.0,130,0,0.0,49.21715279442873,49.21715279442873,0.0,0.0,0.0,1.0,1.6189852892904188,0.0,0.0,No weather event,False
port_hedland,2026,2,2026-02-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2026/cargo,-grt-and-dwt-statistics-by-commodity-type-february2026.pdf",2026-02.pdf,2026-09-02,A,40580988.62,,238.0,,40.58098862,,1.0,3.0,3.0,1.457339172911655,47.0,144.4,131,1,0.0,42.131421031392065,44.55348092699153,2.4220598955994674,1.3249352024386514,3.5191845887602917,0.9456370221763721,1.4655750304931425,1.6526345258382868,39.663228620118886,Weather - severe cyclone,True
port_hedland,2026,3,2026-03-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type_march2026.pdf",2026-03.pdf,2026-09-02,A,46994370.43,,275.0,,46.99437043,,2.0,3.0,3.0,0.7922425283882414,65.0,266.3,132,1,1.457339172911655,49.42808645380979,50.74477298173983,1.3166865279300382,0.7202647360623823,1.9131083197977006,0.9740527654266216,1.669235953346705,0.7887959310307036,18.931102344736885,Weather - severe cyclone,True
port_hedland,2026,4,2026-04-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2026/cargo,-grt-and-dwt-statistics-by-commodity-type_april2026.pdf",2026-04.pdf,2026-09-02,A,47063251.04,,277.0,,47.06325104,,0.0,0.0,0.0,0.0,0.0,9999.0,133,0,0.7922425283882414,49.9058689850504,49.9058689850504,0.0,0.0,0.0,1.0,1.6416404271398157,0.0,0.0,No weather event,False
port_hedland,2026,5,2026-05-01,https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2026/cargo_-grt-and-dwt-statistics-by-commodity-type_may2026.pdf,2026-05.pdf,2026-09-02,A,51563700.71,,297.0,,51.56370071,,0.0,0.0,0.0,0.0,0.0,9999.0,134,0,0.0,52.6910538112998,52.6910538112998,0.0,0.0,0.0,1.0,1.7332583490559146,0.0,0.0,No weather event,False
port_hedland,2026,6,2026-06-01,https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2026/20260728_cargo_-grt-and-dwt-statistics-by-commodity-type_june.pdf,2026-06.pdf,2026-09-02,A,52503731.86,,310.0,,52.50373186,,0.0,0.0,0.0,0.0,0.0,9999.0,135,0,0.0,54.6654114632999,54.6654114632999,0.0,0.0,0.0,1.0,1.7982043244506545,0.0,0.0,No weather event,False
port_hedland,2026,7,2026-07-01,https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2026/cargo_-grt-and-dwt-statistics-by-commodity-type_july2026.pdf,2026-07.pdf,2026-09-02,A,45027324.76,,269.0,,45.02732476,,0.0,0.0,0.0,0.0,0.0,9999.0,136,0,0.0,48.035195889676366,48.035195889676366,0.0,0.0,0.0,1.0,1.5801051279498806,0.0,0.0,No weather event,False
