cyclone_id,disturbance_id,cyclone_name,season_year,season_label,month,peak_datetime,first_in_region,last_in_region,hours_in_region,category,category_from_pres,max_wind_ms,max_wind_kmh,min_pressure_hpa,peak_lat,peak_lon,km_to_port_hedland,close_port_hedland,km_to_dampier,close_dampier,track_points,data_tier
11,AU201920_02U,Blake,2020,2019-20,2020-01-01,2020-01-06 12:00:00,2020-01-06 12:00:00,2020-01-08 12:00:00,48.0,1,1,20.6,74.2,987.0,-17.5,122.2,101.1,True,290.4,False,18,A
12,AU201920_05U,Damien,2020,2019-20,2020-02-01,2020-02-08 03:00:00,2020-02-06 09:00:00,2020-02-09 12:00:00,75.0,3,3,43.7,157.3,955.0,-19.9,116.5,191.8,False,6.8,True,45,A
13,AU201920_09U,Unnamed,2020,2019-20,2020-03-01,2020-03-12 12:00:00,2020-03-11 18:00:00,2020-03-13 06:00:00,36.0,1,0,23.2,83.5,995.0,-20.8,114.8,366.3,False,199.2,False,19,A
14,AU202021_02U,Unnamed,2020,2020-21,2020-12-01,2020-12-11 00:00:00,2020-12-11 00:00:00,2020-12-11 06:00:00,6.0,1,0,23.2,83.5,992.0,-19.36,117.12,40.6,True,150.8,False,26,A
15,AU202021_08U,Unnamed,2021,2020-21,2021-01-01,2021-01-22 00:00:00,2021-01-21 18:00:00,2021-01-22 18:00:00,24.0,1,0,18.0,64.8,992.0,-18.3,119.9,220.0,False,416.3,False,22,A
16,AU202021_12U,Unnamed,2021,2020-21,2021-02-01,2021-02-01 00:00:00,2021-01-31 12:00:00,2021-02-03 18:00:00,78.0,0,0,15.4,55.4,992.0,-20.7,119.4,68.0,True,106.3,True,45,A
17,AU202122_23U,Anika,2022,2021-22,2022-03-01,2022-03-02 12:00:00,2022-03-01 18:00:00,2022-03-03 06:00:00,36.0,2,2,25.7,92.5,978.0,-19.75,120.53,213.0,False,411.3,False,34,A
18,AU202223_16U,Unnamed,2023,2022-23,2023-02-01,2023-02-23 12:00:00,2023-02-22 14:00:00,2023-02-24 18:00:00,52.0,0,0,7.7,27.7,1001.0,-18.15,116.58,260.7,False,240.2,False,64,A
19,AU202223_23U,Ilsa,2023,2022-23,2023-04-01,2023-04-13 12:00:00,2023-04-13 00:00:00,2023-04-14 00:00:00,24.0,5,4,64.3,231.5,930.0,-19.4,119.1,114.9,True,286.3,False,38,A
20,AU202324_07U,Lincoln,2024,2023-24,2024-02-01,2024-02-23 00:00:00,2024-02-23 00:00:00,2024-02-24 13:30:00,37.5,1,0,18.0,64.8,997.0,-17.9,115.1,453.3,False,350.3,False,52,A
21,AU202324_08U,Neville,2024,2023-24,2024-03-01,2024-03-15 06:00:00,2024-03-15 06:00:00,2024-03-15 18:00:00,12.0,0,0,15.4,55.4,996.0,-17.5,115.2,473.3,False,374.9,False,75,A
22,AU202324_11U,Olga,2024,2023-24,2024-04-01,2024-04-09 06:00:00,2024-04-09 06:00:00,2024-04-11 18:00:00,60.0,1,0,23.2,83.5,993.0,-17.6,116.7,303.4,False,150.2,False,30,A
23,AU202425_11U,Sean,2025,2024-25,2025-01-01,2025-01-19 18:00:00,2025-01-17 00:00:00,2025-01-19 18:00:00,66.0,3,3,38.6,139.0,965.0,-20.4,113.3,111.0,True,153.9,False,27,A
24,AU202425_18U,Zelia,2025,2024-25,2025-02-01,2025-02-14 00:00:00,2025-02-11 18:00:00,2025-02-14 18:00:00,72.0,4,5,59.2,213.1,927.0,-19.48,118.64,58.1,True,218.5,False,30,A
25,AU202526_21U,Mitchell,2026,2025-26,2026-02-01,2026-02-07 12:00:00,2026-02-05 22:00:00,2026-02-09 00:00:00,74.0,3,3,38.6,139.0,963.0,-20.0,116.7,144.4,True,73.4,True,53,A
26,AU202526_30U,Unnamed,2026,2025-26,2026-03-01,2026-03-05 06:00:00,2026-03-05 06:00:00,2026-03-05 12:00:00,6.0,0,0,15.4,55.4,992.0,-17.55,118.4,307.5,False,329.1,False,34,A
27,AU202526_34U,Narelle,2026,2025-26,2026-03-01,2026-03-26 06:00:00,2026-03-25 06:00:00,2026-03-27 06:00:00,48.0,3,4,43.7,157.3,945.0,-19.5,115.4,266.3,False,188.0,False,58,A
